action_id,action_name,sector,intervention_type,cost,timeline,action_role,coordination_tier,what_pooled,instrument_class
icare_0001,Improve heat and energy recovery,IPPU,,high,>10 years,outcome,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0002,Promote and expand the use of the Brazilian Energy Labeling Program for Buildings,Stationary Energy,program,low,<5 years,intervention,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0006,Develop integrated renewable energy planning and solar–battery microgrids for rural and peri-urban areas,Stationary Energy,planning,high,>10 years,intervention,highly_coordinated,capex (one procurement / facility),pooled grant/loan · ESCO · debt
icare_0008,Enable smart grid integration and distributed energy storage through municipal collaboration and demonstration projects,Stationary Energy,infrastructure,high,5-10 years,intervention,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0009,Deploy cogeneration systems in industries,Stationary Energy,infrastructure,high,5-10 years,intervention,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0010,Promote Net-Zero and Green Building Certifications,Stationary Energy,program,medium,5-10 years,intervention,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0012,Expand solar energy generation on municipal facilities and public assets,Stationary Energy,infrastructure,medium,5-10 years,intervention,highly_coordinated,capex (one procurement / facility),pooled grant/loan · ESCO · debt
icare_0015,Promote Mini and Micro-Hydropower and Biomass Energy,Stationary Energy,infrastructure,high,5-10 years,intervention,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0016,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",Stationary Energy,program,medium,<5 years,intervention,highly_coordinated,capex (one procurement / facility),pooled grant/loan · ESCO · debt
icare_0023,Upgrade and maintain electrical substations,Stationary Energy,infrastructure,medium,5-10 years,intervention,highly_coordinated,capex (one procurement / facility),pooled grant/loan · ESCO · debt
icare_0024,Integrate renewables into municipal water systems,Stationary Energy,infrastructure,medium,5-10 years,intervention,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0025,Promote energy-efficient and climate-resilient housing for low-income and informal settlements,Stationary Energy,program,medium,5-10 years,intervention,highly_coordinated,capex (one procurement / facility),pooled grant/loan · ESCO · debt
icare_0026,Implement time-of-use electricity tariffs to enhance demand-side flexibility and efficiency,Stationary Energy,financial,low,<5 years,intervention,highly_coordinated,capex (one procurement / facility),pooled grant/loan · ESCO · debt
icare_0027,Create financing programs for local renewable energy projects,Stationary Energy,financial,medium,5-10 years,intervention,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0028,"Promote passive cooling through natural shading and ventilation in residential, commercial, and public buildings",Stationary Energy,regulatory,low,<5 years,intervention,idiosyncratic,grants & technical assistance,grant / PES / TA
icare_0031,Capture & Use Biogas at Wastewater Treatment Plants',Waste,,high,5-10 years,outcome,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0033,Install biodigesters in rural properties,Stationary Energy,infrastructure,medium,<5 years,intervention,highly_coordinated,capex (one procurement / facility),pooled grant/loan · ESCO · debt
icare_0034,Improve Fuel Supply Systems for Industrial Heating,IPPU,,low,<5 years,outcome,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0035,Enhance industrial energy efficiency processes,Stationary Energy,infrastructure,medium,5-10 years,intervention,highly_coordinated,capex (one procurement / facility),pooled grant/loan · ESCO · debt
icare_0040,Deploy energy-efficient and solar-powered street lighting across all neighborhoods,Stationary Energy,infrastructure,medium,5-10 years,intervention,highly_coordinated,capex (one procurement / facility),pooled grant/loan · ESCO · debt
icare_0045,"Promote organic, regenerative and agroecological agriculture in rural areas",AFOLU,program,low,<5 years,intervention,idiosyncratic,grants & technical assistance,grant / PES / TA
icare_0049,Develop regional hubs for renewable energy production,Stationary Energy,infrastructure,high,>10 years,intervention,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0050,Accelerate the adoption of Agroforestry',AFOLU,,medium,5-10 years,outcome,idiosyncratic,grants & technical assistance,grant / PES / TA
icare_0053,Support cooperatives of voluntary waste collectors to aggregate into small enterprises and expand into organics management,Waste,program,medium,<5 years,intervention,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0064,Develop an organic waste management strategy,Waste,planning,medium,5-10 years,intervention,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0069,Complete ecological and agroclimatic mapping,AFOLU,planning,low,<5 years,intervention,idiosyncratic,grants & technical assistance,grant / PES / TA
icare_0071,Increase efficiency of industrial furnaces and kilns,IPPU,,medium,5-10 years,outcome,highly_coordinated,capex (one procurement / facility),pooled grant/loan · ESCO · debt
icare_0072,Improve Heat Recovery and Reuse through Heat Exchanger Networks or Heat Pumps,IPPU,,low,<5 years,outcome,highly_coordinated,capex (one procurement / facility),pooled grant/loan · ESCO · debt
icare_0074,Adopt industrial energy efficiency technologies,IPPU,,medium,5-10 years,outcome,highly_coordinated,capex (one procurement / facility),pooled grant/loan · ESCO · debt
icare_0076,Electrify Industrial Processes (with Renewable Power),IPPU,,medium,>10 years,outcome,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0078,Decarbonize industrial feedstocks,IPPU,,medium,5-10 years,outcome,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0079,Implement carbon capture and utilization (CCU),IPPU,infrastructure,low,<5 years,intervention,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0082,Implement carbon capture and storage (CCS),IPPU,infrastructure,high,>10 years,intervention,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0099,Increase local participation in Agroecological Certification Programmes,AFOLU,,low,<5 years,outcome,idiosyncratic,grants & technical assistance,grant / PES / TA
icare_0101,Accelerate the adoption of Zero Emission Agricultural Machinery,AFOLU,,medium,5-10 years,outcome,idiosyncratic,grants & technical assistance,grant / PES / TA
icare_0104,Adopt hybrid renewable energy systems (solar-wind),Stationary Energy,,high,>10 years,outcome,highly_coordinated,capex (one procurement / facility),pooled grant/loan · ESCO · debt
icare_0105,Reduce technical losses in energy distribution networks,Stationary Energy,,medium,5-10 years,outcome,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0110,"Regulate Construction and Demolition Waste Management to improve deconstruction, segregation at source, reutilization and recycling",Waste,regulatory,medium,<5 years,intervention,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0111,Strengthen Extended Producer Responsibility (EPR) Systems,Waste,regulatory,medium,5-10 years,intervention,idiosyncratic,grants & technical assistance,grant / PES / TA
icare_0117,Improve public transport systems to promote modal shift,Transportation,,medium,5-10 years,outcome,semi_coordinated,project-prep & pipeline (feasibility + Bases),programmatic / blended
icare_0120,"Implement energy efficiency criteria and indicators in the procurement of goods, services, or works by the municipal public administration.",Stationary Energy,regulatory,low,<5 years,intervention,highly_coordinated,capex (one procurement / facility),pooled grant/loan · ESCO · debt
