action_id,action_type,action_name,description,intervention_summary,outcome_summary,intervention_type,action_role,cost_investment_needed,timeline_for_implementation,publisher_id,generation_method,name_i18n_en,name_i18n_es,name_i18n_pt,description_i18n_en,description_i18n_es,description_i18n_pt,intervention_summary_i18n_en,intervention_summary_i18n_es,intervention_summary_i18n_pt,outcome_summary_i18n_en,outcome_summary_i18n_es,outcome_summary_i18n_pt,emissions_impact_relationship,emissions_impact_text,emissions_impact_numeric,emissions_methodology,emissions_sector_number,emissions_subsector_number,emissions_gpc_reference_number,co_benefits
icare_0001,mitigation,Improve heat and energy recovery,"Enhanced energy efficiency in industrial processes by recovering heat and energy from waste streams, improving process coupling, and adopting advanced technologies such as coke dry quenching, black liquor gasification, and top pressure recovery turbines. Includes reducing energy use in comminution, paper drying, and other industrial processes through optimized designs, operational improvements, and material efficiency strategies.",,Industrial processes recover heat and energy from waste streams.,,outcome,high,>10 years,icare,expert_reviewed,Improve heat and energy recovery,Mejorar la recuperación de calor y energía,Melhorar a recuperação de calor e energia,"Enhanced energy efficiency in industrial processes by recovering heat and energy from waste streams, improving process coupling, and adopting advanced technologies such as coke dry quenching, black liquor gasification, and top pressure recovery turbines. Includes reducing energy use in comminution, paper drying, and other industrial processes through optimized designs, operational improvements, and material efficiency strategies.","Mejora de la eficiencia energética en los procesos industriales mediante la recuperación de calor y energía de corrientes de desecho, el mejor acoplamiento de procesos y la adopción de tecnologías avanzadas como el enfriamiento seco de coque, la gasificación de licor negro y las turbinas de recuperación de presión superior. Incluye la reducción del uso de energía en la conminución, el secado de papel y otros procesos industriales a través de diseños optimizados, mejoras operativas y estrategias de eficiencia en el uso de materiales.","Aumento da eficiência energética em processos industriais por meio da recuperação de calor e energia de fluxos de resíduos, melhoria do acoplamento de processos e adoção de tecnologias avançadas como coke dry quenching, black liquor gasification e top pressure recovery turbines. Inclui a redução do uso de energia na cominuição, secagem de papel e outros processos industriais por meio de projetos otimizados, melhorias operacionais e estratégias de eficiência de materiais.",,,,Industrial processes recover heat and energy from waste streams.,Los procesos industriales recuperan calor y energía de los flujos de residuos.,Os processos industriais recuperam calor e energia dos fluxos de resíduos.,positive,low,2,expert review,IV,[1],"[""IV.1""]","{""air_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""cost_of_living"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""habitat"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""stakeholder_engagement"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""water_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
icare_0002,mitigation,Promote and expand the use of the Brazilian Energy Labeling Program for Buildings,"The city will encourage the adoption and enforcement of the Brazilian Energy Labeling Program for Buildings to improve energy efficiency and reduce emissions from the building sector. The program evaluates and certifies buildings based on their energy performance, covering aspects such as thermal efficiency, lighting, and HVAC systems. Actions may include incentivizing developers and property owners to seek certification, integrating energy performance criteria into municipal building codes, and raising public awareness of the benefits of energy-efficient construction and renovation.",The city promotes and expands use of the Brazilian Energy Labeling Program for Buildings.,More buildings are certified under the Brazilian Energy Labeling Program.,program,intervention,low,<5 years,icare,expert_reviewed,Promote and expand the use of the Brazilian Energy Labeling Program for Buildings,Promover y ampliar el uso del Programa Brasileño de Etiquetado Energético para Edificios,Promover e expandir o uso do Programa Brasileiro de Etiquetagem de Edificações,"The city will encourage the adoption and enforcement of the Brazilian Energy Labeling Program for Buildings to improve energy efficiency and reduce emissions from the building sector. The program evaluates and certifies buildings based on their energy performance, covering aspects such as thermal efficiency, lighting, and HVAC systems. Actions may include incentivizing developers and property owners to seek certification, integrating energy performance criteria into municipal building codes, and raising public awareness of the benefits of energy-efficient construction and renovation.","La ciudad fomentará la adopción y aplicación del Programa Brasileño de Etiquetado Energético para Edificios con el fin de mejorar la eficiencia energética y reducir las emisiones del sector de la construcción. El programa evalúa y certifica los edificios según su desempeño energético, abarcando aspectos como la eficiencia térmica, la iluminación y los sistemas HVAC. Las acciones pueden incluir incentivar a desarrolladores y propietarios a buscar la certificación, integrar criterios de desempeño energético en los códigos de edificación municipales y aumentar la concienciación pública sobre los beneficios de la construcción y renovación energéticamente eficiente.","A cidade irá incentivar a adoção e a aplicação do Programa Brasileiro de Etiquetagem de Edificações para melhorar a eficiência energética e reduzir as emissões do setor de edificações. O programa avalia e certifica edifícios com base em seu desempenho energético, abrangendo aspectos como eficiência térmica, iluminação e sistemas de HVAC. As ações podem incluir o incentivo a incorporadores e proprietários de imóveis para buscar a certificação, a integração de critérios de desempenho energético nos códigos de obras municipais e o aumento da conscientização pública sobre os benefícios da construção e renovação energeticamente eficientes.",The city promotes and expands use of the Brazilian Energy Labeling Program for Buildings.,La ciudad promueve y amplía el uso del Programa Brasileño de Etiquetado Energético de Edificios.,A cidade promove e amplia a utilização do Programa Brasileiro de Rotulagem Energética para Edificações.,More buildings are certified under the Brazilian Energy Labeling Program.,Más edificios están certificados bajo el Programa Brasileño de Etiquetado Energético.,Mais edifícios são certificados pelo Programa Brasileiro de Rotulagem Energética.,positive,low,2,expert review,I,[1],"[""I.1.1"", ""I.1.2""]","{""stakeholder_engagement"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
icare_0006,mitigation,Develop integrated renewable energy planning and solar–battery microgrids for rural and peri-urban areas,"The city will promote integrated regional energy planning to ensure that electricity expansion in rural and peri-urban areas is cost-effective, low-emission, and equitable. This approach combines renewable energy generation (e.g., solar PV and wind) with battery storage and microgrid systems to extend reliable access to electricity where traditional grid expansion is unviable or inefficient. Municipalities can partner with energy utilities, rural cooperatives, and neighboring jurisdictions to identify optimal locations for solar–battery microgrids or distributed renewable infrastructure, especially in areas adjoining urban centers where land availability supports clean energy generation for both city and rural users. Financing mechanisms may include public–private artnerships (PPPs), leasing models, concessional loans, and power purchase agreements (PPAs).",The city develops integrated regional renewable energy plans and microgrid deployment.,Rural and peri-urban areas gain low-carbon electricity through solar-battery microgrids.,planning,intervention,high,>10 years,icare,expert_reviewed,Develop integrated renewable energy planning and solar–battery microgrids for rural and peri-urban areas,Desarrollar una planificación integrada de energías renovables y microredes solares con baterías para zonas rurales y periurbanas,Desenvolver planejamento integrado de energias renováveis e microgrids solares com baterias para áreas rurais e periurbanas,"The city will promote integrated regional energy planning to ensure that electricity expansion in rural and peri-urban areas is cost-effective, low-emission, and equitable. This approach combines renewable energy generation (e.g., solar PV and wind) with battery storage and microgrid systems to extend reliable access to electricity where traditional grid expansion is unviable or inefficient. Municipalities can partner with energy utilities, rural cooperatives, and neighboring jurisdictions to identify optimal locations for solar–battery microgrids or distributed renewable infrastructure, especially in areas adjoining urban centers where land availability supports clean energy generation for both city and rural users. Financing mechanisms may include public–private artnerships (PPPs), leasing models, concessional loans, and power purchase agreements (PPAs).","La ciudad promoverá la planificación energética regional integrada para garantizar que la expansión eléctrica en áreas rurales y periurbanas sea rentable, de bajas emisiones y equitativa. Este enfoque combina la generación de energía renovable (por ejemplo, energía solar fotovoltaica y eólica) con almacenamiento en baterías y sistemas de microrredes para ampliar el acceso confiable a la electricidad donde la expansión tradicional de la red no es viable o resulta ineficiente. Los municipios pueden asociarse con empresas de servicios públicos de energía, cooperativas rurales y jurisdicciones vecinas para identificar ubicaciones óptimas para microrredes solares con baterías o infraestructura renovable distribuida, especialmente en áreas adyacentes a centros urbanos donde la disponibilidad de tierras favorece la generación de energía limpia tanto para usuarios urbanos como rurales. Los mecanismos de financiamiento pueden incluir asociaciones público-privadas (PPP), modelos de arrendamiento, préstamos concesionales y acuerdos de compra de energía (PPA).","A cidade promoverá o planejamento energético regional integrado para garantir que a expansão da eletricidade em áreas rurais e periurbanas seja econômica, de baixa emissão e equitativa. Essa abordagem combina a geração de energia renovável (por exemplo, solar fotovoltaica e eólica) com armazenamento em baterias e sistemas de microrredes para ampliar o acesso confiável à eletricidade onde a expansão tradicional da rede não é viável ou eficiente. Os municípios podem fazer parcerias com concessionárias de energia, cooperativas rurais e jurisdições vizinhas para identificar locais ideais para microrredes solares com baterias ou infraestrutura renovável distribuída, especialmente em áreas próximas a centros urbanos onde a disponibilidade de terra favorece a geração de energia limpa tanto para usuários urbanos quanto rurais. Os mecanismos de financiamento podem incluir parcerias público-privadas (PPPs), modelos de leasing, empréstimos concessionais e contratos de compra de energia (PPAs).",The city develops integrated regional renewable energy plans and microgrid deployment.,La ciudad desarrolla planes regionales integrados de energía renovable y despliegue de microrredes.,A cidade desenvolve planos regionais integrados de energia renovável e implantação de microrredes.,Rural and peri-urban areas gain low-carbon electricity through solar-battery microgrids.,Las zonas rurales y periurbanas obtienen electricidad con bajas emisiones de carbono a través de microrredes con baterías solares.,As áreas rurais e periurbanas obtêm eletricidade com baixo teor de carbono através de microrredes com baterias solares.,positive,very low,1,expert review,I,[4],"[""I.4.4""]","{""air_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""cost_of_living"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""housing"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""stakeholder_engagement"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""water_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
icare_0008,mitigation,Enable smart grid integration and distributed energy storage through municipal collaboration and demonstration projects,"The city will collaborate with energy utilities, regulators, and technology providers to support the deployment of smart grid infrastructure and distributed energy storage systems that enhance flexibility, reliability, and renewable energy integration. While large-scale grid modernization is typically led by national or regional authorities",The city collaborates with utilities on smart-grid demonstrations and distributed storage projects.,The local grid operates with higher flexibility and distributed storage.,infrastructure,intervention,high,5-10 years,icare,expert_reviewed,Enable smart grid integration and distributed energy storage through municipal collaboration and demonstration projects,Habilitar la integración de redes inteligentes y el almacenamiento de energía distribuida mediante la colaboración municipal y proyectos de demostración,Permitir a integração de redes inteligentes e o armazenamento distribuído de energia por meio de colaboração municipal e projetos de demonstração,"The city will collaborate with energy utilities, regulators, and technology providers to support the deployment of smart grid infrastructure and distributed energy storage systems that enhance flexibility, reliability, and renewable energy integration. While large-scale grid modernization is typically led by national or regional authorities","La ciudad colaborará con empresas de servicios energéticos, organismos reguladores y proveedores de tecnología para apoyar el despliegue de infraestructura de redes inteligentes y sistemas de almacenamiento de energía distribuida que mejoren la flexibilidad, la fiabilidad y la integración de energías renovables. Si bien la modernización de la red a gran escala suele estar liderada por autoridades nacionales o regionales","A cidade irá colaborar com concessionárias de energia, órgãos reguladores e fornecedores de tecnologia para apoiar a implantação de infraestrutura de redes inteligentes e sistemas de armazenamento de energia distribuída que aumentem a flexibilidade, a confiabilidade e a integração de energias renováveis. Embora a modernização em larga escala da rede geralmente seja liderada por autoridades nacionais ou regionais",The city collaborates with utilities on smart-grid demonstrations and distributed storage projects.,La ciudad colabora con empresas de servicios públicos en demostraciones de redes inteligentes y proyectos de almacenamiento distribuido.,A cidade colabora com empresas de serviços públicos em demonstrações de redes inteligentes e projetos de armazenamento distribuído.,The local grid operates with higher flexibility and distributed storage.,La red local opera con mayor flexibilidad y almacenamiento distribuido.,A rede local opera com maior flexibilidade e armazenamento distribuído.,positive,very low,1,expert review,I,[4],"[""I.4.1"", ""I.4.2""]","{""air_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""cost_of_living"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""stakeholder_engagement"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
icare_0009,mitigation,Deploy cogeneration systems in industries,Utilize combined heat and power systems to maximize energy efficiency in industrial processes.,The city supports deployment of cogeneration systems in industrial facilities.,Industrial facilities generate heat and power together.,infrastructure,intervention,high,5-10 years,icare,expert_reviewed,Deploy cogeneration systems in industries,Desplegar sistemas de cogeneración en las industrias,Implantar sistemas de cogeração nas indústrias,Utilize combined heat and power systems to maximize energy efficiency in industrial processes.,Utilizar sistemas de cogeneración para maximizar la eficiencia energética en los procesos industriales.,Utilize sistemas de cogeração para maximizar a eficiência energética em processos industriais.,The city supports deployment of cogeneration systems in industrial facilities.,La ciudad apoya el despliegue de sistemas de cogeneración en instalaciones industriales.,A cidade apoia a implantação de sistemas de cogeração em instalações industriais.,Industrial facilities generate heat and power together.,Las instalaciones industriales generan calor y electricidad juntas.,As instalações industriais geram calor e energia juntos.,positive,very low,1,expert review,I,[3],"[""I.3.1"", ""I.3.2""]","{""air_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
icare_0010,mitigation,Promote Net-Zero and Green Building Certifications,"This action focuses on promoting sustainable buildings by supporting net-zero energy goals and encouraging green building certifications such as LEED. It aims to incentivize the construction and renovation of buildings that produce as much energy as they consume, reducing their environmental impact. This initiative also fosters the adoption of sustainable practices and technologies, ensuring long-term energy efficiency and environmental responsibility across residential, commercial, and public infrastructure.",The city promotes net-zero and green-building certifications.,More buildings meet net-zero and green-building certification thresholds.,program,intervention,medium,5-10 years,icare,expert_reviewed,Promote Net-Zero and Green Building Certifications,Promover certificaciones de edificios Net-Zero y verdes,Promover Certificações Net-Zero e de Edifícios Verdes,"This action focuses on promoting sustainable buildings by supporting net-zero energy goals and encouraging green building certifications such as LEED. It aims to incentivize the construction and renovation of buildings that produce as much energy as they consume, reducing their environmental impact. This initiative also fosters the adoption of sustainable practices and technologies, ensuring long-term energy efficiency and environmental responsibility across residential, commercial, and public infrastructure.","Esta acción se centra en promover edificios sostenibles apoyando los objetivos de energía neta cero y fomentando certificaciones de construcción ecológica como LEED. Su objetivo es incentivar la construcción y renovación de edificios que produzcan tanta energía como la que consumen, reduciendo su impacto ambiental. Esta iniciativa también impulsa la adopción de prácticas y tecnologías sostenibles, garantizando la eficiencia energética a largo plazo y la responsabilidad ambiental en infraestructuras residenciales, comerciales y públicas.","Esta ação foca na promoção de edifícios sustentáveis, apoiando metas de energia líquida zero e incentivando certificações de construção verde, como o LEED. O objetivo é incentivar a construção e renovação de edifícios que produzam tanta energia quanto consomem, reduzindo seu impacto ambiental. Esta iniciativa também estimula a adoção de práticas e tecnologias sustentáveis, garantindo eficiência energética a longo prazo e responsabilidade ambiental em infraestruturas residenciais, comerciais e públicas.",The city promotes net-zero and green-building certifications.,La ciudad promueve certificaciones de construcción ecológica y neta cero.,A cidade promove certificações líquidas zero e de construção verde.,More buildings meet net-zero and green-building certification thresholds.,Más edificios cumplen con los umbrales de certificación neta cero y de construcción ecológica.,Mais edifícios atendem aos limites de certificação de construção ecológica e zero emissões líquidas.,positive,very low,1,expert review,I,[1],"[""I.1.1"", ""I.1.2""]","{""air_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""cost_of_living"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""housing"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""stakeholder_engagement"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
icare_0012,mitigation,Expand solar energy generation on municipal facilities and public assets,"The city will install and scale up solar photovoltaic (PV) systems on municipal buildings and public assets, including schools, health centers, administrative offices, bus terminals, water treatment plants, and decommissioned landfills. The objective is to increase the share of renewable electricity in municipal operations, lower energy costs, and reduce greenhouse gas emissions. Facilitating pilot and demonstration projects in municipal buildings, neighborhoods, or industrial zones to showcase the benefits of smart meters, automated controls, and local storage systems; Supporting demand-side flexibility programs, such as time-of-use tariffs and smart appliance initiatives; Incorporating grid-readiness and distributed generation planning into local development and zoning strategies; and Engaging in integrated resource planning with utilities to ensure that urban and peri-urban energy needs are aligned with regional grid upgrades.",The city installs PV on municipal buildings and public assets.,Municipal facilities generate more of their own electricity from solar PV.,infrastructure,intervention,medium,5-10 years,icare,expert_reviewed,Expand solar energy generation on municipal facilities and public assets,Ampliar la generación de energía solar en instalaciones municipales y bienes públicos,Expandir a geração de energia solar em instalações municipais e bens públicos,"The city will install and scale up solar photovoltaic (PV) systems on municipal buildings and public assets, including schools, health centers, administrative offices, bus terminals, water treatment plants, and decommissioned landfills. The objective is to increase the share of renewable electricity in municipal operations, lower energy costs, and reduce greenhouse gas emissions. Facilitating pilot and demonstration projects in municipal buildings, neighborhoods, or industrial zones to showcase the benefits of smart meters, automated controls, and local storage systems; Supporting demand-side flexibility programs, such as time-of-use tariffs and smart appliance initiatives; Incorporating grid-readiness and distributed generation planning into local development and zoning strategies; and Engaging in integrated resource planning with utilities to ensure that urban and peri-urban energy needs are aligned with regional grid upgrades.","La ciudad instalará y ampliará sistemas solares fotovoltaicos (PV) en edificios municipales y bienes públicos, incluyendo escuelas, centros de salud, oficinas administrativas, terminales de autobuses, plantas de tratamiento de agua y vertederos clausurados. El objetivo es aumentar la proporción de electricidad renovable en las operaciones municipales, reducir los costos energéticos y disminuir las emisiones de gases de efecto invernadero. Se facilitarán proyectos piloto y de demostración en edificios municipales, barrios o zonas industriales para mostrar los beneficios de los medidores inteligentes, controles automatizados y sistemas de almacenamiento local; se apoyarán programas de flexibilidad en la demanda, como tarifas por horario de uso e iniciativas de electrodomésticos inteligentes; se incorporará la preparación de la red y la planificación de generación distribuida en las estrategias locales de desarrollo y zonificación; y se participará en la planificación integrada de recursos con las empresas de servicios públicos para asegurar que las necesidades energéticas urbanas y periurbanas estén alineadas con las mejoras regionales de la red.","A cidade irá instalar e expandir sistemas solares fotovoltaicos (PV) em prédios municipais e bens públicos, incluindo escolas, centros de saúde, escritórios administrativos, terminais de ônibus, estações de tratamento de água e aterros desativados. O objetivo é aumentar a participação da eletricidade renovável nas operações municipais, reduzir os custos de energia e diminuir as emissões de gases de efeito estufa. Facilitar projetos-piloto e de demonstração em prédios municipais, bairros ou zonas industriais para mostrar os benefícios de medidores inteligentes, controles automatizados e sistemas de armazenamento local; Apoiar programas de flexibilidade do lado da demanda, como tarifas por horário de uso e iniciativas de eletrodomésticos inteligentes; Incorporar o planejamento de prontidão da rede e geração distribuída nas estratégias locais de desenvolvimento e zoneamento; e Engajar-se no planejamento integrado de recursos com concessionárias para garantir que as necessidades energéticas urbanas e periurbanas estejam alinhadas com as atualizações regionais da rede.",The city installs PV on municipal buildings and public assets.,La ciudad instala energía fotovoltaica en edificios municipales y activos públicos.,A cidade instala energia fotovoltaica em edifícios municipais e bens públicos.,Municipal facilities generate more of their own electricity from solar PV.,Las instalaciones municipales generan una mayor parte de su propia electricidad a partir de energía solar fotovoltaica.,As instalações municipais geram mais eletricidade própria a partir da energia solar fotovoltaica.,positive,very low,1,expert review,I,[4],"[""I.4.4""]","{""cost_of_living"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""stakeholder_engagement"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
icare_0015,mitigation,Promote Mini and Micro-Hydropower and Biomass Energy,"This action focuses on promoting renewable energy generation by developing mini and micro-hydropower plants and encouraging biomass energy production in agricultural regions. By harnessing the potential of local water resources and organic waste, this initiative aims to diversify the energy mix, improve energy security, and support sustainable agricultural practices, reducing dependence on fossil fuels while promoting environmentally friendly energy solutions.",The city promotes mini/micro-hydropower and biomass energy development.,Mini/micro-hydropower and biomass expand in the local energy mix.,infrastructure,intervention,high,5-10 years,icare,expert_reviewed,Promote Mini and Micro-Hydropower and Biomass Energy,"Promover la energía minihidroeléctrica, microhidroeléctrica y de biomasa",Promover a Mini e Micro-Hidroeletricidade e a Energia de Biomassa,"This action focuses on promoting renewable energy generation by developing mini and micro-hydropower plants and encouraging biomass energy production in agricultural regions. By harnessing the potential of local water resources and organic waste, this initiative aims to diversify the energy mix, improve energy security, and support sustainable agricultural practices, reducing dependence on fossil fuels while promoting environmentally friendly energy solutions.","Esta acción se centra en promover la generación de energía renovable mediante el desarrollo de plantas mini y microhidroeléctricas y el fomento de la producción de energía a partir de biomasa en regiones agrícolas. Aprovechando el potencial de los recursos hídricos locales y los residuos orgánicos, esta iniciativa busca diversificar la matriz energética, mejorar la seguridad energética y apoyar prácticas agrícolas sostenibles, reduciendo la dependencia de los combustibles fósiles y promoviendo soluciones energéticas respetuosas con el medio ambiente.","Esta ação foca na promoção da geração de energia renovável por meio do desenvolvimento de mini e microcentrais hidrelétricas e do incentivo à produção de energia a partir de biomassa em regiões agrícolas. Ao aproveitar o potencial dos recursos hídricos locais e dos resíduos orgânicos, esta iniciativa visa diversificar a matriz energética, melhorar a segurança energética e apoiar práticas agrícolas sustentáveis, reduzindo a dependência de combustíveis fósseis e promovendo soluções energéticas ambientalmente amigáveis.",The city promotes mini/micro-hydropower and biomass energy development.,La ciudad promueve el desarrollo de energía de biomasa y mini/microhidroeléctricas.,A cidade promove o desenvolvimento de mini/micro-hidrelétricas e energia de biomassa.,Mini/micro-hydropower and biomass expand in the local energy mix.,La mini/microcentral hidroeléctrica y la biomasa se expanden en el mix energético local.,A mini/micro-hidrelétrica e a biomassa expandem-se na matriz energética local.,positive,high,4,expert review,I,[4],"[""I.4.4""]","{""habitat"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""stakeholder_engagement"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""water_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
icare_0016,mitigation,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings","The city will encourage the adoption of renewable and efficient water heating systems, including solar thermal collectors and heat pumps, across residential, commercial, and public facilities. These systems significantly reduce energy consumption and emissions associated with conventional electric or gas water heating. Municipal actions may include: Installing systems in public buildings (schools, hospitals, sports centers) to demonstrate leadership and reduce operational costs; Providing incentives or financing programs for residential and commercial installations; and Updating building codes or efficiency standards to integrate renewable heating technologies in new and retrofitted constructions.","The city promotes solar thermal and heat pump water heating across residential, commercial, and public buildings.",Water heating shifts to solar thermal and heat pumps.,program,intervention,medium,<5 years,icare,expert_reviewed,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings","Promover sistemas solares térmicos y bombas de calor para el calentamiento de agua en edificios residenciales, comerciales y públicos","Promover sistemas solares térmicos e bombas de calor para aquecimento de água em edifícios residenciais, comerciais e públicos","The city will encourage the adoption of renewable and efficient water heating systems, including solar thermal collectors and heat pumps, across residential, commercial, and public facilities. These systems significantly reduce energy consumption and emissions associated with conventional electric or gas water heating. Municipal actions may include: Installing systems in public buildings (schools, hospitals, sports centers) to demonstrate leadership and reduce operational costs; Providing incentives or financing programs for residential and commercial installations; and Updating building codes or efficiency standards to integrate renewable heating technologies in new and retrofitted constructions.","La ciudad fomentará la adopción de sistemas de calentamiento de agua renovables y eficientes, incluyendo colectores solares térmicos y bombas de calor, en instalaciones residenciales, comerciales y públicas. Estos sistemas reducen significativamente el consumo de energía y las emisiones asociadas con el calentamiento de agua convencional mediante electricidad o gas. Las acciones municipales pueden incluir: instalar sistemas en edificios públicos (escuelas, hospitales, centros deportivos) para demostrar liderazgo y reducir los costos operativos; ofrecer incentivos o programas de financiamiento para instalaciones residenciales y comerciales; y actualizar los códigos de construcción o los estándares de eficiencia para integrar tecnologías de calentamiento renovable en construcciones nuevas y remodeladas.","A cidade irá incentivar a adoção de sistemas de aquecimento de água renováveis e eficientes, incluindo coletores solares térmicos e bombas de calor, em instalações residenciais, comerciais e públicas. Esses sistemas reduzem significativamente o consumo de energia e as emissões associadas ao aquecimento de água convencional por eletricidade ou gás. As ações municipais podem incluir: Instalação de sistemas em edifícios públicos (escolas, hospitais, centros esportivos) para demonstrar liderança e reduzir custos operacionais; Oferta de incentivos ou programas de financiamento para instalações residenciais e comerciais; e Atualização de códigos de construção ou padrões de eficiência para integrar tecnologias de aquecimento renovável em construções novas e retrofitadas.","The city promotes solar thermal and heat pump water heating across residential, commercial, and public buildings.","La ciudad promueve el calentamiento del agua con energía solar térmica y con bomba de calor en edificios residenciales, comerciales y públicos.","A cidade promove aquecimento solar térmico e de água com bomba de calor em edifícios residenciais, comerciais e públicos.",Water heating shifts to solar thermal and heat pumps.,El calentamiento del agua pasa a la energía solar térmica y a las bombas de calor.,O aquecimento de água muda para bombas solares térmicas e de calor.,positive,low,2,expert review,I,"[1, 2]","[""I.1.1"", ""I.1.2"", ""I.2.1"", ""I.2.2""]","{""cost_of_living"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""stakeholder_engagement"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
icare_0023,mitigation,Upgrade and maintain electrical substations,Enhance the reliability and efficiency of the electrical grid by modernizing substation equipment and implementing regular maintenance programs.,The city upgrades and maintains electrical substations.,Electrical substations run more reliably with lower losses.,infrastructure,intervention,medium,5-10 years,icare,expert_reviewed,Upgrade and maintain electrical substations,Actualizar y mantener subestaciones eléctricas,Atualizar e manter subestações elétricas,Enhance the reliability and efficiency of the electrical grid by modernizing substation equipment and implementing regular maintenance programs.,Mejorar la fiabilidad y eficiencia de la red eléctrica mediante la modernización del equipo de subestaciones e implementación de programas regulares de mantenimiento.,Aumentar a confiabilidade e eficiência da rede elétrica modernizando os equipamentos das subestações e implementando programas regulares de manutenção.,The city upgrades and maintains electrical substations.,La ciudad actualiza y mantiene las subestaciones eléctricas.,A cidade atualiza e mantém subestações elétricas.,Electrical substations run more reliably with lower losses.,Las subestaciones eléctricas funcionan de forma más fiable y con menores pérdidas.,As subestações elétricas funcionam de forma mais confiável e com menores perdas.,positive,high,4,expert review,I,[4],"[""I.4.1"", ""I.4.2""]",{}
